CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR
TQRMNORYRHJOLQCDEGOIH00866678;2024;3;1;1;40;N;18;168;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;7;2;5;750000;4;5;5;;5;5;107142,86;1;1;2;;1;2;181;2;0;98;0;0;0;Extendido;Material durable;Bajo
TQRMNOQPQHLMLQCDEHMHF00806179;2024;3;1;1;42;N;26;155;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;4;0;4;640000;4;4;4;;4;4;160000;2;2;2;;2;2;205;1;4;8;0;0;0;Nuclear;Material durable;Bajo
TQRMNORRPHLOKQCDEGPDJ00805603;2024;3;2;1;40;N;19;229;1;;1;1;;4;2;1;1;;1;2;1;1;1;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;350000;2;2;2;;2;2;175000;2;2;3;;3;3;229;1;0;98;0;0;0;Nuclear;Material durable;Bajo
TQRMNOPTTHLOKSCDEGPDJ00805527;2024;3;1;1;40;N;19;205;1;;3;1;;2;1;1;1;;1;1;1;1;1;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;540000;3;3;3;;4;4;270000;4;4;5;;5;5;205;1;0;2;0;0;0;Nuclear;Material durable;Bajo
TQRMNORUPHLKKTCDEGPDJ00805529;2024;3;2;1;40;N;19;301;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;575000;3;3;4;;4;4;287500;4;5;6;;5;6;301;2;0;98;0;0;0;Nuclear;Material durable;Bajo
TQRMNOSQQHLOLMCDEHLEH00806058;2024;3;1;1;40;N;25;187;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;940000;6;6;7;;6;8;313333,33;5;5;6;;6;8;257;1;3;2;0;0;0;Nuclear;Material durable;Bajo
TQRMNOSRRHLOLMCDEHLEH00806059;2024;3;1;1;40;N;25;250;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;318312;1;2;2;;2;2;318312;5;5;7;;6;8;283;1;0;98;0;0;0;Extendido;Material durable;Bajo
TQRMNOQUYHMMLRCDEGGFB00809681;2024;3;1;1;42;S;10;605;2;;2;2;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;3;2;1;250000;1;1;1;1;;1;83333,33;1;1;1;1;;1;525;2;0;98;0;0;0;Nuclear;Material durable;Bajo
TQRMNOQVPHMMLRCDEGGFB00852597;2024;3;1;1;42;S;10;701;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;2;2;2;1;0;1;360000;2;2;2;2;;2;360000;5;6;6;5;;6;861;1;0;98;0;0;0;Extendido;Material durable;Medio
TQRMNOSRWHMMLRCDEGGFB00809682;2024;3;1;1;42;S;10;581;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;2250000;9;10;10;9;;10;562500;8;8;8;8;;8;713;2;0;3;4;1;0;Nuclear;Material durable;Bajo
TQRMNORSXHMOLTCDEGGFB00809683;2024;3;1;1;42;S;10;512;1;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;0;5;1770000;9;9;9;8;;9;354000;5;6;6;5;;6;1272;2;0;1;3;4;0;Extendido;Material durable;Bajo
